mu solver sloppy rel_delta max_res_increase tts res
0.2048 cg half 1e-1 def 0.220528 4.633640e-12
0.2048 cg half 1e-1 def 0.201331 4.356456e-12
0.2048 cg half 1e-1 def 0.199443 3.570615e-12
0.2048 cg half 1e-1 (20,100) 0.253236 4.633640e-12
0.2048 cg half 1e-1 (20,100) 0.198723 4.356456e-12
0.2048 cg half 1e-1 (20,100) 0.216213 3.570615e-12
0.2048 cg half alt def 0.323828 4.653058e-12
0.2048 cg half alt def 0.192831 4.433448e-12
0.2048 cg half alt def 0.190712 3.675456e-12
0.2048 cg half alt (20,100) 0.215093 4.653058e-12
0.2048 cg half alt (20,100) 0.196466 4.433448e-12
0.2048 cg half alt (20,100) 0.190493 3.675456e-12
