profile	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 21:33:24 2022

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     5.84196	    0.446708	     98.0502	       10805	 0.000540672	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1861.82 Gflop/s, 1582.55 GB/s, tuning took 0.089238 seconds at Mon Jul 11 18:27:20 2022
     3.99441	    0.305434	     98.3557	        7704	 0.000518485	     32x64x16x16	N4quda13TwistedCloverINS_15WilsonCloverArgIfLi3ELi4EL21QudaReconstructType_s18ELb1EEEEE	policy,commDim=0011,xpay,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1941.49 Gflop/s, 1650.26 GB/s, tuning took 0.081299 seconds at Mon Jul 11 18:33:21 2022
     3.81545	     0.29175	     98.6474	        3647	  0.00104619	     32x64x16x16	N4quda13TwistedCloverINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s18ELb1EEEEE	policy,commDim=0011,xpay,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 962.19 Gflop/s, 1635.73 GB/s, tuning took 0.146038 seconds at Mon Jul 11 18:26:36 2022
     3.70218	    0.283088	     98.9305	        3647	  0.00101513	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 966.84 Gflop/s, 1685.78 GB/s, tuning took 0.152847 seconds at Mon Jul 11 18:26:21 2022
     2.62287	    0.200559	     99.1311	        2503	  0.00104789	     32x64x16x16	N4quda13TwistedCloverINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s18ELb1EEEEE	policy,commDim=0011,xpay,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 960.63 Gflop/s, 1633.06 GB/s, tuning took 0.146366 seconds at Mon Jul 11 18:26:05 2022
     2.56392	    0.196051	     99.3271	        2503	  0.00102434	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 958.14 Gflop/s, 1670.61 GB/s, tuning took 0.154809 seconds at Mon Jul 11 18:25:49 2022
     2.37456	    0.181571	     99.5087	        7704	 0.000308224	     32x64x16x16	N4quda4blas13TransposeTuneINS0_9multiCdotES2_St7complexIdEEE	policy,vol=524288,parity=1,precision=2,order=8,Ns=4,Nc=3,TwistFlavor=1,vol=524288,parity=1,precision=2,order=8,Ns=4,Nc=3,TwistFlavor=1,n=4,m=5,multi-blas-n=4,max_nyw_tile=8	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.005494 seconds at Mon Jul 11 18:33:12 2022
     1.69568	     0.12966	     99.6383	        3101	 0.000546816	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1794.88 Gflop/s, 1564.76 GB/s, tuning took 0.090446 seconds at Mon Jul 11 18:27:30 2022
     1.42663	    0.109088	     99.7474	       74772	 1.90798e-05	        8x16x4x4	N4quda4blas13TransposeTuneINS0_9multiCdotES2_St7complexIdEEE	policy,vol=2048,parity=1,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1,vol=2048,parity=1,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1,n=4,m=5,multi-blas-n=4,max_nyw_tile=8	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.002822 seconds at Mon Jul 11 18:33:04 2022
     1.33685	    0.102223	     99.8496	        3101	 0.000431104	     32x64x16x16	N4quda6WilsonINS_9WilsonArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,dagger,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1663.70 Gflop/s, 1634.51 GB/s, tuning took 0.077169 seconds at Mon Jul 11 18:27:39 2022
      1.0569	   0.0808163	     99.9305	      224316	 4.71166e-06	         2x4x2x2	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchILb0EEEEE	policy,clover,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1,gauge_prec=2,halo_prec=2,comm=0011,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=11110011111,full	# 221.68 Gflop/s, 118.23 GB/s, tuning took 0.007551 seconds at Mon Jul 11 18:33:03 2022
    0.640975	   0.0490124	     99.9795	        1488	 0.000430763	     32x64x16x16	N4quda6WilsonINS_9WilsonArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy,commDim=0011,xpay,parity=1,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=111111111111110000	# 1665.01 Gflop/s, 1635.80 GB/s, tuning took 0.077048 seconds at Mon Jul 11 18:27:02 2022
    0.268399	   0.0205232	         100	       26088	 1.02882e-05	        8x16x4x4	N4quda22DslashCoarsePolicyTuneINS_18DslashCoarseLaunchILb0EEEEE	policy,clover,vol=2048,parity=1,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1,gauge_prec=2,halo_prec=2,comm=0011,topo=1148,order=0123,p2p=7,gdr=1,nvshmem=0,pol=11110011111,full	# 3650.02 Gflop/s, 1987.45 GB/s, tuning took 0.008739 seconds at Mon Jul 11 18:32:04 2022

# Total time spent in asynchronous execution = 1307.78 seconds
