tunecache	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 15:16:32 2022

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,dim=2,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	9.40218e-05	# 25695.30 Gflop/s, 13115.31 GB/s, tuning took 0.005497 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,dim=3,dir=back,nFace=1,GPU-device	32	1	1	64	12	16	0	3	0	0	0	9.36494e-05	# 25797.47 Gflop/s, 13167.46 GB/s, tuning took 0.005472 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeUV,mma,dim=3,dir=fwd,nFace=1,GPU-device	32	1	1	64	12	16	0	2	0	0	0	9.40218e-05	# 25695.30 Gflop/s, 13115.31 GB/s, tuning took 0.005489 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeVUV,MMA,dim=0,dir=back,nFace=1,bidirectional,GPU-device,coarse_vol=4x4x2x2	32	2	1	64	4	4	16384	1	0	0	0	0.000212582	# 15152.83 Gflop/s, 11404.09 GB/s, tuning took 0.008819 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeVUV,MMA,dim=0,dir=fwd,nFace=1,bidirectional,GPU-device,coarse_vol=4x4x2x2	32	2	1	64	4	4	16384	2	0	0	0	0.000327936	# 9822.73 Gflop/s, 7392.62 GB/s, tuning took 0.011760 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeVUV,MMA,dim=1,dir=back,nFace=1,bidirectional,GPU-device,coarse_vol=4x4x2x2	32	2	1	64	4	4	16384	1	0	0	0	0.000213197	# 15109.16 Gflop/s, 11371.22 GB/s, tuning took 0.008838 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeVUV,MMA,dim=1,dir=fwd,nFace=1,bidirectional,GPU-device,coarse_vol=4x4x2x2	32	2	1	64	4	4	16384	1	0	0	0	0.000329216	# 9784.54 Gflop/s, 7363.88 GB/s, tuning took 0.011748 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeVUV,MMA,dim=2,dir=back,nFace=1,bidirectional,GPU-device,coarse_vol=4x4x2x2	32	2	1	64	4	4	16384	1	0	0	0	0.000252672	# 12748.65 Gflop/s, 9594.68 GB/s, tuning took 0.009142 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeVUV,MMA,dim=2,dir=fwd,nFace=1,bidirectional,GPU-device,coarse_vol=4x4x2x2	32	2	1	64	4	4	16384	2	0	0	0	0.000328192	# 9815.06 Gflop/s, 7386.86 GB/s, tuning took 0.011720 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeVUV,MMA,dim=3,dir=back,nFace=1,bidirectional,GPU-device,coarse_vol=4x4x2x2	32	2	1	64	4	4	16384	3	0	0	0	0.000255744	# 12595.51 Gflop/s, 9479.43 GB/s, tuning took 0.009200 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CalculateYILb1EL19QudaFieldLocation_s2ENS_13CalculateYArgILb1EfLi2ELi2ELi24ELi32ENS_5gauge10FieldOrderIfLi64ELi2EL21QudaGaugeFieldOrder_s13ELb1EsEENS4_IfLi64ELi2ELS5_13ELb1EiEENS4_IfLi48ELi2ELS5_13ELb1EsEENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi32EL16QudaFieldOrder_s9EssLb0ELb0EEENSA_IfLi4ELi24ELi32ELSB_9EssLb0ELb0EEESC_S8_EEEE	GPU-offline,vol=4096,parity=2,precision=2,order=9,Ns=2,Nc=768,TwistFlavor=1,comm=0011,computeVUV,MMA,dim=3,dir=fwd,nFace=1,bidirectional,GPU-device,coarse_vol=4x4x2x2	32	2	1	64	4	4	16384	2	0	0	0	0.000333141	# 9669.25 Gflop/s, 7277.11 GB/s, tuning took 0.010199 seconds at Mon Jul 11 18:32:48 2022
       16x16x4x4	N4quda10CopySpinorIffLi2ELi24ENS_11colorspinor12FieldOrderCBIfLi2ELi24ELi1EL16QudaFieldOrder_s2EffLb0ELb0EEES4_EE	GPU-offline,vol=4096,parity=2,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1	256	1	1	8	1	1	0	-1	-1	-1	-1	1.10436e-05	# 0.00 Gflop/s, 284.85 GB/s, tuning took 0.010963 seconds at Mon Jul 11 18:32:04 2022
       16x16x4x4	N4quda10CopySpinorIssLi2ELi768ENS_11colorspinor12FieldOrderCBIfLi2ELi768ELi1EL16QudaFieldOrder_s9EssLb0ELb0EEENS2_IfLi2ELi768ELi1ELS3_2EssLb0ELb0EEEEE	GPU-offline,vol=4096,parity=2,precision=2,order=2,Ns=2,Nc=768,TwistFlavor=1	192	1	1	11	1	1	0	-1	-1	-1	-1	0.000460459	# 0.00 Gflop/s, 109.38 GB/s, tuning took 0.141864 seconds at Mon Jul 11 18:32:47 2022
