profile	1.1.0	1.1.0-bbf27d48a-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.5.50	# Last updated Fri Jul 29 21:33:24 2022

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
     15.3871	    0.980491	     72.1091	       60408	  0.00025472	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,parity=1	# 3587.60 Gflop/s, 1598.26 GB/s, tuning took 0.408634 seconds at Mon Jul 11 18:27:40 2022
     14.9028	    0.949627	     73.0588	     1939278	  7.6847e-06	         2x4x2x2	N4quda4blas11multicaxpy_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1,Nxz=4,Nyw=1	# 8.53 Gflop/s, 12.79 GB/s, tuning took 0.010212 seconds at Mon Jul 11 18:33:04 2022
     12.6287	     0.80472	     73.8635	        1444	  0.00874564	  bytes=83886080	cudaMemcpyDefault	saveCPUField,cuda_gauge_field.cpp,658	# 0.00 Gflop/s, 9.59 GB/s, tuning took 0.061816 seconds at Mon Jul 11 18:37:59 2022
     12.1146	    0.771958	     74.6354	       94645	    0.000128	   32x64x16x16x2	N4quda4blas7axpbyz_IfEE	GPU-offline,vol=1048576,parity=1,precision=2,order=8,Ns=4,Nc=3,TwistFlavor=2	# 589.82 Gflop/s, 1277.95 GB/s, tuning took 0.025070 seconds at Mon Jul 11 18:24:25 2022
     11.9672	    0.762567	      75.398	      969639	 1.23419e-05	         2x4x2x2	N4quda4blas9multiCdotIdfEE	policy_kernel,GPU-offline,nParity=1,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1,Nxz=4,Nyw=5,max_nyw_tile=8	# 26.55 Gflop/s, 33.19 GB/s, tuning took 0.012766 seconds at Mon Jul 11 18:33:03 2022
     11.8288	    0.753751	     76.1518	       91047	  0.00012992	   32x64x16x16x2	N4quda4blas18tripleCGReduction_IdfEE	GPU-offline,nParity=1,vol=1048576,parity=1,precision=2,order=8,Ns=4,Nc=3,TwistFlavor=2	# 1162.21 Gflop/s, 1259.07 GB/s, tuning took 1.164362 seconds at Mon Jul 11 18:24:53 2022
      11.756	    0.749113	     76.9009	       95230	 0.000123449	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=exterior_all,commDim=0011,dagger,parity=1	# 382.23 Gflop/s, 662.53 GB/s, tuning took 0.101058 seconds at Mon Jul 11 18:23:01 2022
      11.691	    0.744969	     77.6458	       95230	 0.000122766	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=exterior_all,commDim=0011,parity=1	# 384.36 Gflop/s, 666.22 GB/s, tuning took 0.101211 seconds at Mon Jul 11 18:23:18 2022
     11.1958	    0.713415	     78.3593	     4028100	 2.77943e-06	         2x4x2x2	N4quda4blas7axpbyz_IfEE	GPU-offline,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1	# 4.42 Gflop/s, 17.68 GB/s, tuning took 0.007949 seconds at Mon Jul 11 18:33:03 2022
     8.86276	    0.564748	      78.924	        6680	  0.00132676	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,dagger,parity=1	# 1524.54 Gflop/s, 2456.34 GB/s, tuning took 0.371235 seconds at Mon Jul 11 18:23:52 2022
     8.83771	    0.563152	     79.4872	        6680	  0.00132301	   32x64x16x16x2	N4quda17NdegTwistedCloverINS_20NdegTwistedCloverArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,xpay,parity=1	# 1528.87 Gflop/s, 2463.31 GB/s, tuning took 0.370498 seconds at Mon Jul 11 18:24:14 2022
     8.65394	    0.551442	     80.0386	     1044411	 8.28595e-06	         2x4x2x2	N4quda4blas5Norm2IdfEE	GPU-offline,nParity=1,vol=32,parity=1,precision=4,order=2,Ns=2,Nc=32,TwistFlavor=1	# 0.99 Gflop/s, 1.98 GB/s, tuning took 0.010897 seconds at Mon Jul 11 18:33:03 2022
     7.94086	    0.506004	     80.5446	      109774	 7.23383e-05	     32x64x16x16	N4quda4blas18tripleCGReduction_IdfEE	GPU-offline,nParity=1,vol=524288,parity=1,precision=2,order=8,Ns=4,Nc=3,TwistFlavor=1	# 1043.67 Gflop/s, 1130.65 GB/s, tuning took 0.627878 seconds at Mon Jul 11 18:25:34 2022
     7.47646	    0.476411	      81.021	        6680	  0.00111923	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,dagger,parity=1	# 1762.25 Gflop/s, 2911.79 GB/s, tuning took 0.504947 seconds at Mon Jul 11 18:23:39 2022
     7.43998	    0.474087	     81.4951	        6680	  0.00111377	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIdLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,parity=1	# 1770.90 Gflop/s, 2926.07 GB/s, tuning took 0.502697 seconds at Mon Jul 11 18:24:01 2022
     7.42335	    0.473027	     81.9681	       18509	 0.000401067	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIfLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=interior,comm=0011,commDim=0011,parity=1	# 2215.76 Gflop/s, 1937.32 GB/s, tuning took 0.504768 seconds at Mon Jul 11 18:27:04 2022
     7.34982	    0.468342	     82.4365	        7704	 0.000954027	32x64x16x16,16x16x4x4	N4quda14RestrictLaunchIfsLi4ELi3ELi2ELi24EEE	GPU-offline,vol=524288,parity=1,precision=4,order=2,Ns=4,Nc=3,TwistFlavor=1,vol=4096,parity=2,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1	# 1266.17 Gflop/s, 691.89 GB/s, tuning took 12.704220 seconds at Mon Jul 11 18:33:03 2022
     6.83422	    0.435487	      82.872	     1234302	 5.53691e-06	        8x16x4x4	N4quda9GhostPackIfsL16QudaFieldOrder_s2ELi2ELi24EEE	GPU-offline,vol=2048,parity=1,precision=4,order=2,Ns=2,Nc=24,TwistFlavor=1,halo_prec=2,comm=0011,topo=1148,order=0123,dest=00001111,nFace=1,spins_per_thread=2,colors_per_thread=2,shmem=0	# 0.00 Gflop/s, 213.05 GB/s, tuning took 0.009830 seconds at Mon Jul 11 18:32:04 2022
     6.51926	    0.415417	     83.2874	         361	   0.0180589	     64x64x20x20	N4quda10ForceGaugeIdLi3EL21QudaReconstructType_s18ELb1EEE	GPU-offline,vol=1638400stride=819200precision=8geometry=4Nc=3r=0022,num_paths=24,comm=0011	# 3908.88 Gflop/s, 5733.25 GB/s, tuning took 55.119925 seconds at Mon Jul 11 18:37:58 2022
     6.34751	    0.404473	     83.6919	      140590	 4.51491e-05	     32x64x16x16	N4quda27TwistedCloverPreconditionedINS_16TwistedCloverArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=exterior_all,commDim=0011,parity=1	# 2125.06 Gflop/s, 923.18 GB/s, tuning took 0.088612 seconds at Mon Jul 11 18:25:19 2022
     6.09116	    0.388138	       84.08	       91047	 6.69013e-05	   32x64x16x16x2	N4quda31NdegTwistedCloverPreconditionedINS_34NdegTwistedCloverPreconditionedArgIsLi3ELi4EL21QudaReconstructType_s18EEEEE	policy_kernel=exterior_all,commDim=0011,parity=1	# 705.31 Gflop/s, 650.45 GB/s, tuning took 0.064915 seconds at Mon Jul 11 18:24:40 2022
     6.08244	    0.387582	     84.4676	         374	   0.0162632	     64x64x16x16	N4quda10BlockOrthoIssLi4ELi2ELi3ELi2ELi24EEE	GPU-offline,vol=1048576,parity=2,precision=2,order=2,Ns=4,Nc=72,TwistFlavor=1,block_size=4x4x4x4,n_block_ortho=1,mVec=4	# 3528.10 Gflop/s, 1012.14 GB/s, tuning took 1.165335 seconds at Mon Jul 11 18:28:11 2022
