tts prec
1.075426e+00 single_single
1.071627e+00 single_single
2.207446e+00 single_single
2.201744e+00 single_single
1.075942e+00 single_single
1.120527e+00 single_single
1.071088e+00 single_single
2.199818e+00 single_single
8.397949e+00 single_single
1.077249e+00 single_single
1.097537e+00 single_single
1.108444e+00 single_single
2.182417e+00 single_single
2.192383e+00 single_single
1.068195e+00 single_single
1.185586e+00 single_single
1.067948e+00 single_single
2.179777e+00 single_single
8.374700e+00 single_single
8.337314e+00 single_single
1.067960e+00 single_single
1.065528e+00 single_single
1.065937e+00 single_single
2.191355e+00 single_single
2.175330e+00 single_single
1.104626e+00 single_single
1.088654e+00 single_single
1.076221e+00 single_single
2.184967e+00 single_single
8.333280e+00 single_single
1.061981e+00 single_single
1.106102e+00 single_single
1.062733e+00 single_single
2.188967e+00 single_single
2.198790e+00 single_single
1.069795e+00 single_single
1.070635e+00 single_single
1.101021e+00 single_single
2.206591e+00 single_single
8.382446e+00 single_single
8.395157e+00 single_single
1.070225e+00 single_single
1.069294e+00 single_single
1.070507e+00 single_single
2.213690e+00 single_single
2.221109e+00 single_single
1.076328e+00 single_single
1.070498e+00 single_single
1.074579e+00 single_single
2.258491e+00 single_single
8.457812e+00 single_single
1.086347e+00 single_single
1.075782e+00 single_single
1.087190e+00 single_single
2.218890e+00 single_single
2.207721e+00 single_single
1.115246e+00 single_single
1.076226e+00 single_single
1.073789e+00 single_single
2.212011e+00 single_single
8.485316e+00 single_single
8.471373e+00 single_single
1.071508e+00 single_single
1.069314e+00 single_single
1.091376e+00 single_single
2.198910e+00 single_single
2.208120e+00 single_single
1.114989e+00 single_single
1.072093e+00 single_single
1.070404e+00 single_single
2.208971e+00 single_single
8.394444e+00 single_single
1.070893e+00 single_single
1.102662e+00 single_single
1.072997e+00 single_single
2.185151e+00 single_single
2.189315e+00 single_single
1.073044e+00 single_single
1.069758e+00 single_single
1.064907e+00 single_single
2.171395e+00 single_single
8.349760e+00 single_single
8.344568e+00 single_single
1.070391e+00 single_single
1.068216e+00 single_single
1.107298e+00 single_single
2.163670e+00 single_single
2.168518e+00 single_single
1.119678e+00 single_single
1.070044e+00 single_single
1.065788e+00 single_single
2.189586e+00 single_single
8.383761e+00 single_single
1.068994e+00 single_single
1.066663e+00 single_single
1.093928e+00 single_single
2.178088e+00 single_single
2.184201e+00 single_single
1.070529e+00 single_single
1.079734e+00 single_single
1.067606e+00 single_single
2.183415e+00 single_single
8.445803e+00 single_single
8.446586e+00 single_single
